nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 01:50:20,384 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:50:20.331000+00:00 price=0.01298000 size=5043.00000000
2026-08-19 01:50:20,384 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:49:00+00:00 o=0.01300000 h=0.01300000 l=0.01300000 c=0.01300000 v=7304.60000000
2026-08-19 01:50:20,385 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:50:20,385 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:45:00+00:00 o=0.01302000 h=0.01303000 l=0.01297000 c=0.01300000 v=67861.50000000
2026-08-19 01:56:43,565 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:56:43.510000+00:00 price=0.01295000 size=346.80000000
2026-08-19 01:56:43,565 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:50:00+00:00 o=0.01298000 h=0.01298000 l=0.01298000 c=0.01298000 v=5043.00000000
2026-08-19 01:56:43,565 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:56:43,566 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:50:00+00:00 o=0.01298000 h=0.01298000 l=0.01298000 c=0.01298000 v=5043.00000000
2026-08-19 01:58:47,121 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:58:47.067000+00:00 price=0.01297000 size=771.00000000
2026-08-19 01:58:47,121 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:56:00+00:00 o=0.01295000 h=0.01295000 l=0.01295000 c=0.01295000 v=346.80000000
2026-08-19 01:58:47,121 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:59:26,751 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:59:26.697000+00:00 price=0.01295000 size=13589.80000000
2026-08-19 01:59:26,751 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:58:00+00:00 o=0.01297000 h=0.01297000 l=0.01297000 c=0.01297000 v=771.00000000
2026-08-19 01:59:26,751 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:59:26,752 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:59:26.697000+00:00 price=0.01294000 size=13374.70000000
2026-08-19 02:02:24,438 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:02:24.384000+00:00 price=0.01293000 size=125.60000000
2026-08-19 02:02:24,438 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:59:00+00:00 o=0.01295000 h=0.01295000 l=0.01294000 c=0.01294000 v=26964.50000000
2026-08-19 02:02:24,438 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:02:24,438 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:55:00+00:00 o=0.01295000 h=0.01297000 l=0.01294000 c=0.01294000 v=28082.30000000
2026-08-19 02:02:53,455 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:02:53.401000+00:00 price=0.01291000 size=2000.20000000
2026-08-19 02:04:47,944 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:04:47.891000+00:00 price=0.01289000 size=130.80000000
2026-08-19 02:04:47,945 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:02:00+00:00 o=0.01293000 h=0.01293000 l=0.01291000 c=0.01291000 v=2125.80000000
2026-08-19 02:04:47,945 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:07:01,352 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:07:01.298000+00:00 price=0.01288000 size=10693.60000000
2026-08-19 02:07:01,352 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:04:00+00:00 o=0.01289000 h=0.01289000 l=0.01289000 c=0.01289000 v=130.80000000
2026-08-19 02:07:01,352 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:07:01,352 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T02:00:00+00:00 o=0.01293000 h=0.01293000 l=0.01289000 c=0.01289000 v=2256.60000000
2026-08-19 02:08:12,967 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:08:12.911000+00:00 price=0.01288000 size=10510.50000000
2026-08-19 02:08:12,967 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:07:00+00:00 o=0.01288000 h=0.01288000 l=0.01288000 c=0.01288000 v=10693.60000000
2026-08-19 02:08:12,967 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:08:46,140 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:08:46.086000+00:00 price=0.01288000 size=3886.20000000
2026-08-19 02:08:47,149 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:08:47.091000+00:00 price=0.01288000 size=15544.80000000
2026-08-19 02:09:09,376 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:09:09.322000+00:00 price=0.01288000 size=10508.20000000
2026-08-19 02:09:09,376 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:08:00+00:00 o=0.01288000 h=0.01288000 l=0.01288000 c=0.01288000 v=29941.50000000
2026-08-19 02:09:09,376 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:09:11,509 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:09:11.456000+00:00 price=0.01287000 size=6221.70000000
2026-08-19 02:14:06,844 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:06.791000+00:00 price=0.01284000 size=113.60000000
2026-08-19 02:14:06,844 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:09:00+00:00 o=0.01288000 h=0.01288000 l=0.01287000 c=0.01287000 v=16729.90000000
2026-08-19 02:14:06,845 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:14:06,845 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T02:05:00+00:00 o=0.01288000 h=0.01288000 l=0.01287000 c=0.01287000 v=57365.00000000
2026-08-19 02:14:51,031 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:50.968000+00:00 price=0.01284000 size=1282.50000000
2026-08-19 02:14:51,032 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:50.968000+00:00 price=0.01283000 size=24647.30000000
2026-08-19 02:14:51,032 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:50.973000+00:00 price=0.01283000 size=36951.60000000
2026-08-19 02:14:51,032 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:50.974000+00:00 price=0.01283000 size=1282.50000000
2026-08-19 02:14:51,896 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:14:51.843000+00:00 price=0.01284000 size=36697.60000000
2026-08-19 02:15:03,816 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:03.761000+00:00 price=0.01282000 size=901.70000000
2026-08-19 02:15:03,816 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:14:00+00:00 o=0.01284000 h=0.01284000 l=0.01283000 c=0.01284000 v=100975.10000000
2026-08-19 02:15:03,816 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:15:03,816 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T02:10:00+00:00 o=0.01284000 h=0.01284000 l=0.01283000 c=0.01284000 v=100975.10000000
